City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Puerto Ayora,EC,69.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Nyurba,RU,76.17,overcast clouds,63.2842,118.3319,Gostinitsa Alrosa
10,Xining,CN,67.03,broken clouds,36.6167,101.7667,Super Leisure Hotel
11,Rikitea,PF,69.13,clear sky,-23.1203,-134.9692,People ThankYou
12,Robertsport,LR,77.58,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
13,Vilhena,BR,67.1,clear sky,-12.7406,-60.1458,Hotel Mirage
14,El Retorno,CO,70.09,overcast clouds,2.3302,-72.6276,Hostal la posada de Rita
20,Svetlogorsk,BY,65.48,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
22,Urucara,BR,76.77,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
23,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
24,Udachnyy,RU,76.53,few clouds,66.4167,112.4,Severnoye Siyaniye
25,Ovalle,CL,65.8,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
26,Xichang,CN,69.35,clear sky,27.8964,102.2634,Xichang ibis Hotel
28,Jalu,LY,83.44,clear sky,29.0331,21.5482,صاحبة الفخامة
33,Kaseda,JP,84.09,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
34,Dumas,US,72.82,scattered clouds,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
35,Hithadhoo,MV,81.32,overcast clouds,-0.6,73.0833,Scoop Guest House
36,Muncar,ID,78.87,overcast clouds,-8.4333,114.3333,Zaky Homestay
37,Atuona,PF,77.04,scattered clouds,-9.8,-139.0333,Villa Enata
40,Samsun,TR,66.96,scattered clouds,41.25,36.3333,Anemon Samsun Otel
41,Sambava,MG,67.95,overcast clouds,-14.2667,50.1667,Melrose
48,Shenjiamen,CN,80.64,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
49,Namibe,AO,67.15,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
52,Bambous Virieux,MU,66.22,clear sky,-20.3428,57.7575,Casa Tia Villa
59,Airai,TL,70.92,scattered clouds,-8.9266,125.4092,Juvinal Martin
60,Mana,GF,79.39,overcast clouds,5.6592,-53.7767,LE SAMANA
65,Caravelas,BR,68.02,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
66,Manbij,SY,84.97,clear sky,36.5281,37.9549,Manbej City Hotel
67,Porto Novo,BJ,74.55,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
69,Guisijan,PH,82.76,overcast clouds,11.0932,122.0461,Bagongbayan
70,Altay,CN,68.45,clear sky,47.8667,88.1167,Jinqiao Hotel
75,Suntar,RU,73.22,overcast clouds,62.1444,117.6319,Дом у Мамы
78,Cockburn Town,TC,82.15,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
79,Iralaya,HN,80.4,few clouds,15.0,-83.2333,Iglesia morava renovada
80,Souillac,MU,66.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
81,Bud,US,71.69,clear sky,39.447,-86.1758,Ted McQuinn Trust
82,Ribeira Grande,PT,72.82,few clouds,38.5167,-28.7,Quinta da Meia Eira
91,Zhigansk,RU,72.55,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
93,Kaifeng,CN,80.35,light rain,34.7911,114.3483,Pullman Kaifeng Jianye
97,Qesarya,IL,77.31,clear sky,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
101,Saint-Philippe,RE,67.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
102,Butaritari,KI,83.25,broken clouds,3.0707,172.7902,Isles Sunset Lodge
103,Dawlatabad,AF,78.24,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
107,Mahebourg,MU,66.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
108,Zhangjiakou,CN,69.28,few clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
109,Tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
110,Vylkove,UA,74.25,light rain,45.4021,29.586,Pelican City
111,Ramsar,IR,77.95,broken clouds,36.9226,50.6426,Rasa Residential Hotel
112,Porto Torres,IT,69.1,overcast clouds,40.835,8.3972,Hotel Elisa
113,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
114,Mariakani,KE,65.48,scattered clouds,-3.8633,39.4736,The County Luxury Comfort Hotels Ltd
115,Fortuna,US,69.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
116,Takhli,TH,79.83,overcast clouds,15.2634,100.3438,โรงเเรมกอล์ฟ 19
120,Bani,DO,82.85,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
122,Arraial Do Cabo,BR,66.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
124,Berezovyy,RU,69.01,light rain,51.6667,135.7,"Hotel ""Phoenix"""
125,Bethel,US,70.54,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
129,Lodwar,KE,79.14,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
135,Lagoa,PT,71.83,overcast clouds,39.05,-27.9833,Casa Das Faias
137,Mizdah,LY,82.04,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
138,Isangel,VU,72.07,scattered clouds,-19.55,169.2667,Tanna Lodge
139,Jinchang,CN,74.71,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
140,Naze,JP,80.26,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
141,Hilo,US,82.13,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
149,Bubaque,GW,79.9,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
150,Fairbanks,US,79.14,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
151,Alamosa,US,67.98,few clouds,37.4695,-105.87,Best Western Alamosa Inn
155,Khatanga,RU,67.28,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
157,Nouadhibou,MR,69.73,clear sky,20.931,-17.0347,El Medina
158,Palamos,ES,70.68,overcast clouds,41.8484,3.1291,Hotel Rosamar
161,Thompson,CA,77.49,overcast clouds,55.7435,-97.8558,Burntwood Hotel
164,Dakar,SN,81.48,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
165,Camocim,BR,77.29,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
