City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fort Nelson,CA,58.8053,-122.7002,93.15,25,0,3.04,clear sky
1,Tiksi,RU,71.6872,128.8694,51.28,65,31,6.22,scattered clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,42,5.01,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,38.86,81,75,11.5,broken clouds
4,Lompoc,US,34.6391,-120.4579,85.57,65,1,12.66,clear sky
5,Tasiilaq,GL,65.6145,-37.6368,44.76,77,100,3.83,overcast clouds
6,Kaitangata,NZ,-46.2817,169.8464,52.93,70,100,1.57,overcast clouds
7,Nyurba,RU,63.2842,118.3319,76.17,47,100,9.19,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,41.11,87,40,13.8,scattered clouds
9,Jamestown,US,42.097,-79.2353,62.29,91,90,1.01,overcast clouds
10,Xining,CN,36.6167,101.7667,67.03,54,71,2.8,broken clouds
11,Rikitea,PF,-23.1203,-134.9692,69.13,57,5,19.44,clear sky
12,Robertsport,LR,6.7533,-11.3686,77.58,79,100,12.35,overcast clouds
13,Vilhena,BR,-12.7406,-60.1458,67.1,42,0,2.93,clear sky
14,El Retorno,CO,2.3302,-72.6276,70.09,88,99,3.83,overcast clouds
15,Albany,US,42.6001,-73.9662,65.08,93,100,1.3,light rain
16,New Norfolk,AU,-42.7826,147.0587,51.89,77,93,1.01,overcast clouds
17,Port Elizabeth,ZA,-33.918,25.5701,60.1,85,84,14.18,moderate rain
18,Pevek,RU,69.7008,170.3133,34.63,92,100,16.02,overcast clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,49.91,88,100,11.95,overcast clouds
20,Svetlogorsk,BY,52.6333,29.7333,65.48,92,100,6.62,overcast clouds
21,Bredasdorp,ZA,-34.5322,20.0403,55.27,90,100,3.51,light rain
22,Urucara,BR,-2.5364,-57.76,76.77,77,100,3.6,overcast clouds
23,Avarua,CK,-21.2078,-159.775,71.65,88,75,17.27,light rain
24,Udachnyy,RU,66.4167,112.4,76.53,33,22,9.98,few clouds
25,Ovalle,CL,-30.5983,-71.2003,65.8,41,0,1.79,clear sky
26,Xichang,CN,27.8964,102.2634,69.35,69,0,2.91,clear sky
27,Carnarvon,AU,-24.8667,113.6333,57.92,56,0,20.51,clear sky
28,Jalu,LY,29.0331,21.5482,83.44,36,0,9.06,clear sky
29,Port Alfred,ZA,-33.5906,26.891,60.84,82,75,21.85,broken clouds
30,Yulara,AU,-25.2406,130.9889,57.04,41,0,12.66,clear sky
31,Cape Town,ZA,-33.9258,18.4232,57.11,88,28,1.01,scattered clouds
32,Dikson,RU,73.5069,80.5464,42.12,99,100,10.09,overcast clouds
33,Kaseda,JP,31.4167,130.3167,84.09,71,100,9.73,overcast clouds
34,Dumas,US,35.8656,-101.9732,72.82,56,40,8.05,scattered clouds
35,Hithadhoo,MV,-0.6,73.0833,81.32,72,85,6.42,overcast clouds
36,Muncar,ID,-8.4333,114.3333,78.87,79,97,4.14,overcast clouds
37,Atuona,PF,-9.8,-139.0333,77.04,70,34,10.8,scattered clouds
38,Chuy,UY,-33.6971,-53.4616,50.59,93,74,6.2,broken clouds
39,Barrow,US,71.2906,-156.7887,48.22,75,90,13.8,haze
40,Samsun,TR,41.25,36.3333,66.96,94,40,2.3,scattered clouds
41,Sambava,MG,-14.2667,50.1667,67.95,86,90,10.16,overcast clouds
42,Cherskiy,RU,68.75,161.3,42.1,68,84,21.77,broken clouds
43,Busselton,AU,-33.65,115.3333,47.05,68,100,7.72,overcast clouds
44,Marienburg,PL,54.0359,19.0266,61.88,92,100,5.35,overcast clouds
45,Nikolskoye,RU,59.7035,30.7861,61.02,83,100,5.44,light rain
46,Salekhard,RU,66.53,66.6019,56.21,94,96,5.37,overcast clouds
47,Bluff,NZ,-46.6,168.3333,45.81,80,100,7.2,overcast clouds
48,Shenjiamen,CN,29.9576,122.298,80.64,89,99,11.21,overcast clouds
49,Namibe,AO,-15.1961,12.1522,67.15,87,15,1.83,few clouds
50,Rafai,CF,4.95,23.9167,67.17,97,100,1.86,overcast clouds
51,Antofagasta,CL,-23.65,-70.4,58.28,77,25,2.57,scattered clouds
52,Bambous Virieux,MU,-20.3428,57.7575,66.22,69,7,12.26,clear sky
53,Tromso,NO,69.6496,18.957,47.05,81,90,1.99,overcast clouds
54,Ust-Karsk,RU,52.7011,118.8077,67.64,57,0,5.35,clear sky
55,Vadso,NO,70.0744,29.7487,56.28,97,100,1.23,overcast clouds
56,Geraldton,AU,-28.7667,114.6,51.13,87,40,11.5,scattered clouds
57,Saskylakh,RU,71.9167,114.0833,78.46,37,5,6.29,clear sky
58,Hobart,AU,-42.8794,147.3294,52.23,68,20,3.0,few clouds
59,Airai,TL,-8.9266,125.4092,70.92,54,37,4.07,scattered clouds
60,Mana,GF,5.6592,-53.7767,79.39,82,98,7.54,overcast clouds
61,Hofn,IS,64.2539,-15.2082,53.51,92,98,2.68,overcast clouds
62,Andenes,NO,69.3143,16.1194,46.38,93,90,14.97,overcast clouds
63,Victoria,HK,22.2855,114.1577,86.97,88,100,1.01,light rain
64,Kodiak,US,57.79,-152.4072,56.93,92,97,5.73,overcast clouds
65,Caravelas,BR,-17.7125,-39.2481,68.02,67,48,7.78,scattered clouds
66,Manbij,SY,36.5281,37.9549,84.97,39,1,12.21,clear sky
67,Porto Novo,BJ,6.4965,2.6036,74.55,90,13,5.3,few clouds
68,Plyussa,RU,58.4308,29.3654,57.56,84,100,1.97,overcast clouds
69,Guisijan,PH,11.0932,122.0461,82.76,82,99,10.2,overcast clouds
70,Altay,CN,47.8667,88.1167,68.45,39,0,2.04,clear sky
71,Pisco,PE,-13.7,-76.2167,62.65,82,90,11.5,overcast clouds
72,Kruisfontein,ZA,-34.0033,24.7314,56.88,81,84,12.62,light rain
73,Nome,US,64.5011,-165.4064,55.17,100,90,9.22,moderate rain
74,Oranjemund,NA,-28.55,16.4333,55.56,76,0,7.34,clear sky
75,Suntar,RU,62.1444,117.6319,73.22,43,100,8.93,overcast clouds
76,Boende,CD,-0.2167,20.8667,71.92,77,100,1.97,overcast clouds
77,Qaanaaq,GL,77.484,-69.3632,42.01,84,74,2.15,broken clouds
78,Cockburn Town,TC,21.4612,-71.1419,82.15,81,99,20.51,overcast clouds
79,Iralaya,HN,15.0,-83.2333,80.4,86,11,10.63,few clouds
80,Souillac,MU,-20.5167,57.5167,66.36,74,0,11.86,clear sky
81,Bud,US,39.447,-86.1758,71.69,81,0,7.92,clear sky
82,Ribeira Grande,PT,38.5167,-28.7,72.82,95,16,13.67,few clouds
83,Port Macquarie,AU,-31.4333,152.9167,61.97,69,100,4.74,overcast clouds
84,Iqaluit,CA,63.7506,-68.5145,50.9,74,100,1.77,overcast clouds
85,Waipawa,NZ,-41.4122,175.5153,55.09,60,0,4.81,clear sky
86,Mataura,NZ,-46.1927,168.8643,45.48,83,100,2.1,overcast clouds
87,Kolyvan,RU,55.3053,82.7391,64.06,81,98,4.45,overcast clouds
88,Onega,RU,63.9061,38.1404,56.89,94,100,5.79,overcast clouds
89,Saint George,US,37.1041,-113.5841,97.63,26,1,5.99,clear sky
90,Kabanjahe,ID,3.1001,98.4908,63.36,83,98,3.44,overcast clouds
91,Zhigansk,RU,66.7697,123.3711,72.55,48,2,15.32,clear sky
92,Uni,RU,57.7535,51.4923,60.04,78,90,6.82,moderate rain
93,Kaifeng,CN,34.7911,114.3483,80.35,68,6,13.8,light rain
94,Esperance,AU,-33.8667,121.9,54.21,67,100,19.6,overcast clouds
95,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,48.88,89,0,5.12,clear sky
96,Kapaa,US,22.0752,-159.319,85.98,75,75,5.01,broken clouds
