City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-07-29 01:22:53,-46.1927,168.8643,57.47,72,55,4.94
1,Barrow,US,2021-07-29 01:22:53,71.2906,-156.7887,42.82,93,90,16.11
2,Busselton,AU,2021-07-29 01:22:54,-33.65,115.3333,59.09,76,40,25.5
3,Bluff,NZ,2021-07-29 01:22:54,-46.6,168.3333,57.79,70,83,7.52
4,Victoria,HK,2021-07-29 01:20:52,22.2855,114.1577,89.33,86,96,1.99
5,Albany,US,2021-07-29 01:21:02,42.6001,-73.9662,68.72,79,25,2.26
6,Mariinskiy Posad,RU,2021-07-29 01:22:55,56.115,47.718,58.14,67,14,6.06
7,Tahta,EG,2021-07-29 01:22:55,26.7693,31.5021,82.72,30,1,9.44
8,Hobart,AU,2021-07-29 01:20:56,-42.8794,147.3294,52.27,66,40,4.0
9,Ushuaia,AR,2021-07-29 01:21:22,-54.8,-68.3,42.46,81,20,4.61
10,Eyl,SO,2021-07-29 01:19:49,7.9803,49.8164,79.23,64,100,22.7
11,Bagdarin,RU,2021-07-29 01:22:56,54.4333,113.6,58.89,92,100,2.46
12,Schlitz,DE,2021-07-29 01:22:57,50.6742,9.561,61.66,90,11,6.55
13,Rabo De Peixe,PT,2021-07-29 01:22:57,37.8,-25.5833,69.31,88,20,11.5
14,Bredasdorp,ZA,2021-07-29 01:22:58,-34.5322,20.0403,54.72,58,28,13.8
15,Sola,VU,2021-07-29 01:22:58,-13.8833,167.55,79.45,79,51,16.11
16,Hithadhoo,MV,2021-07-29 01:19:47,-0.6,73.0833,79.2,76,100,3.22
17,New Norfolk,AU,2021-07-29 01:22:59,-42.7826,147.0587,51.93,56,97,8.5
18,Torbay,CA,2021-07-29 01:22:59,47.6666,-52.7314,67.75,94,75,10.36
19,Atuona,PF,2021-07-29 01:22:59,-9.8,-139.0333,77.36,67,14,17.63
20,Hermanus,ZA,2021-07-29 01:23:00,-34.4187,19.2345,53.91,68,96,23.33
21,Rikitea,PF,2021-07-29 01:20:09,-23.1203,-134.9692,73.81,79,96,14.45
22,Klaksvik,FO,2021-07-29 01:23:00,62.2266,-6.589,54.52,99,100,14.27
23,Fortuna,US,2021-07-29 01:22:21,40.5982,-124.1573,70.93,72,1,1.99
24,Banda Aceh,ID,2021-07-29 01:18:10,5.5577,95.3222,81.82,74,100,13.76
25,Saint-Georges,GD,2021-07-29 01:23:01,12.0564,-61.7485,80.28,89,40,16.11
26,Qaanaaq,GL,2021-07-29 01:23:01,77.484,-69.3632,42.21,97,100,0.87
27,Nkhotakota,MW,2021-07-29 01:23:01,-12.9274,34.2961,62.91,71,26,9.15
28,Talnakh,RU,2021-07-29 01:23:02,69.4865,88.3972,57.18,78,100,4.34
29,Gazanjyk,TM,2021-07-29 01:23:02,39.2446,55.5154,77.4,54,100,6.24
30,Korla,CN,2021-07-29 01:23:02,41.7597,86.1469,89.91,20,11,12.95
31,Sistranda,NO,2021-07-29 01:23:03,63.7256,8.834,66.16,92,94,1.9
32,San Patricio,US,2021-07-29 01:23:03,28.017,-97.5169,85.89,63,4,12.24
33,Vila Velha,BR,2021-07-29 01:23:03,-20.3297,-40.2925,71.55,83,20,8.05
34,Mahebourg,MU,2021-07-29 01:23:04,-20.4081,57.7,71.89,68,75,18.41
35,Westport,US,2021-07-29 01:23:04,41.1415,-73.3579,74.19,86,1,5.99
36,Bambous Virieux,MU,2021-07-29 01:23:05,-20.3428,57.7575,71.85,68,75,18.41
37,Ahipara,NZ,2021-07-29 01:19:19,-35.1667,173.1667,61.84,71,36,8.43
38,Sanbu,CN,2021-07-29 01:23:05,33.4594,119.1453,75.0,94,100,15.12
39,Glencoe,ZA,2021-07-29 01:23:05,-28.1783,30.147,41.07,42,0,3.8
40,Araouane,ML,2021-07-29 01:23:06,18.9048,-3.5265,94.21,31,20,9.93
41,Nikolskoye,RU,2021-07-29 01:19:07,59.7035,30.7861,66.09,97,100,6.4
42,Kapaa,US,2021-07-29 01:18:39,22.0752,-159.319,87.78,69,40,5.01
43,Puerto Escondido,MX,2021-07-29 01:21:49,15.85,-97.0667,85.03,61,40,0.0
44,Saint-Philippe,RE,2021-07-29 01:23:07,-21.3585,55.7679,67.59,86,100,20.71
45,Syumsi,RU,2021-07-29 01:23:07,57.1111,51.6149,49.01,81,0,4.79
46,La Asuncion,VE,2021-07-29 01:23:07,11.0333,-63.8628,78.44,86,100,11.95
47,Taltal,CL,2021-07-29 01:23:08,-25.4,-70.4833,56.05,73,4,2.59
48,Castro,BR,2021-07-29 01:23:08,-24.7911,-50.0119,38.46,62,6,10.11
49,Cockburn Town,TC,2021-07-29 01:22:18,21.4612,-71.1419,81.77,79,100,21.27
50,Manono,CD,2021-07-29 01:23:09,-7.3,27.4167,70.05,42,2,3.65
51,Itupiranga,BR,2021-07-29 01:23:09,-5.1347,-49.3267,82.72,52,25,1.07
52,Mar Del Plata,AR,2021-07-29 01:23:06,-38.0023,-57.5575,42.01,62,40,1.99
53,Baghdad,IQ,2021-07-29 01:23:10,33.3406,44.4009,85.91,35,0,9.22
54,Tazovskiy,RU,2021-07-29 01:23:10,67.4667,78.7,49.96,82,75,12.24
55,Cape Town,ZA,2021-07-29 01:19:06,-33.9258,18.4232,55.11,75,75,5.01
56,Punta Arenas,CL,2021-07-29 01:23:10,-53.15,-70.9167,48.31,66,0,12.66
57,Chongwe,ZM,2021-07-29 01:23:11,-15.3292,28.682,48.74,80,78,2.84
58,Vaini,TO,2021-07-29 01:20:53,-21.2,-175.2,75.36,73,20,9.22
59,Alofi,NU,2021-07-29 01:18:17,-19.0595,-169.9187,76.89,73,40,9.22
60,San Lorenzo,PY,2021-07-29 01:23:11,-25.3333,-57.5333,49.59,46,0,11.99
